"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","test_create_match_creates_event_when_missing","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","0","test_match_create_rejects_invalid_court_number","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","429","test_create_account_for_player_creates_user_and_links_player","tests","2026-01-28","passed","2026-01-28","","test_admin","",""
"","0","test_player_update_allows_partial_payload","tests","2026-01-28","passed","2026-01-28","","test_player","",""
"Test avec un token invalide","6","test_invalid_token","tests","2026-01-28","passed","2026-01-28","","test_auth","",""
"","252","test_get_rankings_aggregates_company_stats","tests","2026-01-28","passed","2026-01-28","","test_result","",""
"","39","test_get_matches_my_matches_filters_to_player_team","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","0","test_generate_temporary_password_contains_required_characters","tests","2026-01-28","passed","2026-01-28","","test_admin","",""
"Test de la création de token JWT","0","test_jwt_token_creation","tests","2026-01-28","passed","2026-01-28","","test_security","",""
"","1376","test_change_password","tests","2026-01-28","passed","2026-01-28","","test_profile","",""
"Test blocage après 5 tentatives échouées","1294","test_brute_force_protection","tests","2026-01-28","passed","2026-01-28","","test_auth","",""
"","34","test_create_event_creates_matches","tests","2026-01-28","passed","2026-01-28","","test_event","",""
"","2","test_player_response_from_attributes","tests","2026-01-28","passed","2026-01-28","","test_player","",""
"","31","test_create_event_requires_admin","tests","2026-01-28","passed","2026-01-28","","test_event","",""
"","19","test_get_match_returns_404_for_missing_id","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","0","test_player_create_rejects_invalid_first_name_characters","tests","2026-01-28","passed","2026-01-28","","test_player","",""
"Test connexion avec credentials valides","238","test_login_success","tests","2026-01-28","passed","2026-01-28","","test_auth","",""
"","242","test_toggle_user_active_flips_status","tests","2026-01-28","passed","2026-01-28","","test_admin","",""
"","0","test_event_create_rejects_duplicate_teams","tests","2026-01-28","passed","2026-01-28","","test_event","",""
"","243","test_get_my_results_returns_empty_when_player_has_no_teams","tests","2026-01-28","passed","2026-01-28","","test_result","",""
"","0","test_match_create_rejects_same_team","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","0","test_event_create_rejects_duplicate_courts","tests","2026-01-28","passed","2026-01-28","","test_event","",""
"","241","test_get_my_profile","tests","2026-01-28","passed","2026-01-28","","test_profile","",""
"","251","test_get_my_results_returns_ordered_results_and_stats","tests","2026-01-28","passed","2026-01-28","","test_result","",""
"","235","test_delete_user_account_removes_user_and_unlinks_player","tests","2026-01-28","passed","2026-01-28","","test_admin","",""
"","29","test_delete_match_rejects_non_upcoming","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"","38","test_get_matches_filters_upcoming","tests","2026-01-28","passed","2026-01-28","","test_matches","",""
"Test du hashing de mot de passe","656","test_password_hashing","tests","2026-01-28","passed","2026-01-28","","test_security","",""
"","261","test_update_my_profile","tests","2026-01-28","passed","2026-01-28","","test_profile","",""
